"driver_race","stop_date","stop_purpose","daily_num_stops","month","day","day_index","day_of_week","fri_sat","post_policy","dangerous_days","race","day_counter","dangerous_days2","date2","stop_purpose2"
"Black","2005-02-04","Radar Triggered",176,"2",4,35,"Friday","Friday or Saturday",0,"Other day","Black",34,NA,2005-02-04,"Radar Triggered"
"Black","2005-02-04","Violation Observed",378,"2",4,35,"Friday","Friday or Saturday",0,"Other day","Black",34,NA,2005-02-04,"Violation Observed"
"Black","2005-02-05","Radar Triggered",216,"2",5,36,"Saturday","Friday or Saturday",0,"Other day","Black",35,NA,2005-02-05,"Radar Triggered"
"Black","2005-02-05","Violation Observed",445,"2",5,36,"Saturday","Friday or Saturday",0,"Other day","Black",35,NA,2005-02-05,"Violation Observed"
"Black","2005-02-06","Radar Triggered",176,"2",6,37,"Sunday","Another day",0,"Other day","Black",36,NA,2005-02-06,"Radar Triggered"
"Black","2005-02-06","Violation Observed",242,"2",6,37,"Sunday","Another day",0,"Other day","Black",36,NA,2005-02-06,"Violation Observed"
"Black","2005-02-07","Radar Triggered",142,"2",7,38,"Monday","Another day",0,"Other day","Black",37,NA,2005-02-07,"Radar Triggered"
"Black","2005-02-07","Violation Observed",286,"2",7,38,"Monday","Another day",0,"Other day","Black",37,NA,2005-02-07,"Violation Observed"
"Black","2005-02-08","Radar Triggered",135,"2",8,39,"Tuesday","Another day",0,"Other day","Black",38,NA,2005-02-08,"Radar Triggered"
"Black","2005-02-08","Violation Observed",250,"2",8,39,"Tuesday","Another day",0,"Other day","Black",38,NA,2005-02-08,"Violation Observed"
"Black","2005-02-09","Radar Triggered",88,"2",9,40,"Wednesday","Another day",0,"Other day","Black",39,NA,2005-02-09,"Radar Triggered"
"Black","2005-02-09","Violation Observed",255,"2",9,40,"Wednesday","Another day",0,"Other day","Black",39,NA,2005-02-09,"Violation Observed"
"Black","2005-02-10","Radar Triggered",114,"2",10,41,"Thursday","Another day",0,"Other day","Black",40,NA,2005-02-10,"Radar Triggered"
"Black","2005-02-10","Violation Observed",266,"2",10,41,"Thursday","Another day",0,"Other day","Black",40,NA,2005-02-10,"Violation Observed"
"Black","2005-02-11","Radar Triggered",277,"2",11,42,"Friday","Friday or Saturday",0,"Other day","Black",41,NA,2005-02-11,"Radar Triggered"
"Black","2005-02-11","Violation Observed",349,"2",11,42,"Friday","Friday or Saturday",0,"Other day","Black",41,NA,2005-02-11,"Violation Observed"
"Black","2005-02-12","Radar Triggered",334,"2",12,43,"Saturday","Friday or Saturday",0,"Other day","Black",42,NA,2005-02-12,"Radar Triggered"
"Black","2005-02-12","Violation Observed",453,"2",12,43,"Saturday","Friday or Saturday",0,"Other day","Black",42,NA,2005-02-12,"Violation Observed"
"Black","2005-02-13","Radar Triggered",197,"2",13,44,"Sunday","Another day",0,"Other day","Black",43,NA,2005-02-13,"Radar Triggered"
"Black","2005-02-13","Violation Observed",235,"2",13,44,"Sunday","Another day",0,"Other day","Black",43,NA,2005-02-13,"Violation Observed"
"Black","2005-02-14","Radar Triggered",130,"2",14,45,"Monday","Another day",0,"Other day","Black",44,NA,2005-02-14,"Radar Triggered"
"Black","2005-02-14","Violation Observed",229,"2",14,45,"Monday","Another day",0,"Other day","Black",44,NA,2005-02-14,"Violation Observed"
"Black","2005-02-15","Radar Triggered",87,"2",15,46,"Tuesday","Another day",0,"Other day","Black",45,NA,2005-02-15,"Radar Triggered"
"Black","2005-02-15","Violation Observed",279,"2",15,46,"Tuesday","Another day",0,"Other day","Black",45,NA,2005-02-15,"Violation Observed"
"Black","2005-02-16","Radar Triggered",177,"2",16,47,"Wednesday","Another day",0,"Other day","Black",46,NA,2005-02-16,"Radar Triggered"
"Black","2005-02-16","Violation Observed",315,"2",16,47,"Wednesday","Another day",0,"Other day","Black",46,NA,2005-02-16,"Violation Observed"
"Black","2005-02-17","Radar Triggered",199,"2",17,48,"Thursday","Another day",0,"Other day","Black",47,NA,2005-02-17,"Radar Triggered"
"Black","2005-02-17","Violation Observed",219,"2",17,48,"Thursday","Another day",0,"Other day","Black",47,NA,2005-02-17,"Violation Observed"
"Black","2005-02-18","Radar Triggered",195,"2",18,49,"Friday","Friday or Saturday",0,"Other day","Black",48,NA,2005-02-18,"Radar Triggered"
"Black","2005-02-18","Violation Observed",384,"2",18,49,"Friday","Friday or Saturday",0,"Other day","Black",48,NA,2005-02-18,"Violation Observed"
"Black","2005-02-19","Radar Triggered",222,"2",19,50,"Saturday","Friday or Saturday",0,"Other day","Black",49,NA,2005-02-19,"Radar Triggered"
"Black","2005-02-19","Violation Observed",442,"2",19,50,"Saturday","Friday or Saturday",0,"Other day","Black",49,NA,2005-02-19,"Violation Observed"
"Black","2005-02-20","Radar Triggered",130,"2",20,51,"Sunday","Another day",0,"Other day","Black",50,NA,2005-02-20,"Radar Triggered"
"Black","2005-02-20","Violation Observed",212,"2",20,51,"Sunday","Another day",0,"Other day","Black",50,NA,2005-02-20,"Violation Observed"
"Black","2005-02-21","Radar Triggered",82,"2",21,52,"Monday","Another day",0,"Other day","Black",51,NA,2005-02-21,"Radar Triggered"
"Black","2005-02-21","Violation Observed",144,"2",21,52,"Monday","Another day",0,"Other day","Black",51,NA,2005-02-21,"Violation Observed"
"Black","2005-02-22","Radar Triggered",99,"2",22,53,"Tuesday","Another day",0,"Other day","Black",52,NA,2005-02-22,"Radar Triggered"
"Black","2005-02-22","Violation Observed",240,"2",22,53,"Tuesday","Another day",0,"Other day","Black",52,NA,2005-02-22,"Violation Observed"
"Black","2005-02-23","Radar Triggered",134,"2",23,54,"Wednesday","Another day",0,"Other day","Black",53,NA,2005-02-23,"Radar Triggered"
"Black","2005-02-23","Violation Observed",262,"2",23,54,"Wednesday","Another day",0,"Other day","Black",53,NA,2005-02-23,"Violation Observed"
"Black","2005-02-24","Radar Triggered",120,"2",24,55,"Thursday","Another day",0,"Other day","Black",54,NA,2005-02-24,"Radar Triggered"
"Black","2005-02-24","Violation Observed",161,"2",24,55,"Thursday","Another day",0,"Other day","Black",54,NA,2005-02-24,"Violation Observed"
"Black","2005-02-25","Radar Triggered",224,"2",25,56,"Friday","Friday or Saturday",0,"Other day","Black",55,NA,2005-02-25,"Radar Triggered"
"Black","2005-02-25","Violation Observed",327,"2",25,56,"Friday","Friday or Saturday",0,"Other day","Black",55,NA,2005-02-25,"Violation Observed"
"Black","2005-02-26","Radar Triggered",303,"2",26,57,"Saturday","Friday or Saturday",0,"Other day","Black",56,NA,2005-02-26,"Radar Triggered"
"Black","2005-02-26","Violation Observed",399,"2",26,57,"Saturday","Friday or Saturday",0,"Other day","Black",56,NA,2005-02-26,"Violation Observed"
"Black","2005-02-27","Radar Triggered",119,"2",27,58,"Sunday","Another day",0,"Other day","Black",57,NA,2005-02-27,"Radar Triggered"
"Black","2005-02-27","Violation Observed",193,"2",27,58,"Sunday","Another day",0,"Other day","Black",57,NA,2005-02-27,"Violation Observed"
"Black","2005-02-28","Radar Triggered",69,"2",28,59,"Monday","Another day",0,"Other day","Black",58,NA,2005-02-28,"Radar Triggered"
"Black","2005-02-28","Violation Observed",139,"2",28,59,"Monday","Another day",0,"Other day","Black",58,NA,2005-02-28,"Violation Observed"
"Black","2005-03-01","Radar Triggered",119,"3",1,60,"Tuesday","Another day",0,"Other day","Black",59,NA,2005-03-01,"Radar Triggered"
"Black","2005-03-01","Violation Observed",220,"3",1,60,"Tuesday","Another day",0,"Other day","Black",59,NA,2005-03-01,"Violation Observed"
"Black","2005-03-02","Radar Triggered",159,"3",2,61,"Wednesday","Another day",0,"Other day","Black",60,NA,2005-03-02,"Radar Triggered"
"Black","2005-03-02","Violation Observed",272,"3",2,61,"Wednesday","Another day",0,"Other day","Black",60,NA,2005-03-02,"Violation Observed"
"Black","2005-03-03","Radar Triggered",147,"3",3,62,"Thursday","Another day",0,"Other day","Black",61,NA,2005-03-03,"Radar Triggered"
"Black","2005-03-03","Violation Observed",238,"3",3,62,"Thursday","Another day",0,"Other day","Black",61,NA,2005-03-03,"Violation Observed"
"Black","2005-03-04","Radar Triggered",194,"3",4,63,"Friday","Friday or Saturday",0,"Other day","Black",62,NA,2005-03-04,"Radar Triggered"
"Black","2005-03-04","Violation Observed",329,"3",4,63,"Friday","Friday or Saturday",0,"Other day","Black",62,NA,2005-03-04,"Violation Observed"
"Black","2005-03-05","Radar Triggered",201,"3",5,64,"Saturday","Friday or Saturday",0,"Other day","Black",63,NA,2005-03-05,"Radar Triggered"
"Black","2005-03-05","Violation Observed",336,"3",5,64,"Saturday","Friday or Saturday",0,"Other day","Black",63,NA,2005-03-05,"Violation Observed"
"Black","2005-03-06","Radar Triggered",163,"3",6,65,"Sunday","Another day",0,"Other day","Black",64,NA,2005-03-06,"Radar Triggered"
"Black","2005-03-06","Violation Observed",249,"3",6,65,"Sunday","Another day",0,"Other day","Black",64,NA,2005-03-06,"Violation Observed"
"Black","2005-03-07","Radar Triggered",177,"3",7,66,"Monday","Another day",0,"Other day","Black",65,NA,2005-03-07,"Radar Triggered"
